,Location,Pincode ,State ,District ,Latitude,Longitude
1,Agriculture Institute,211007,Uttar Pradesh,Allahabad,25.43346784,81.84280782
15,Allahpur,211006,Uttar Pradesh,Allahabad,25.44891438,81.86680495
25,Arail,211008,Uttar Pradesh,Allahabad,25.39805645,81.8620793
37,Babuganj,212404,Uttar Pradesh,Allahabad,25.52808995,82.0492678
41,Bagai Khurd,212404,Uttar Pradesh,Allahabad,25.52808995,82.0492678
45,Bahraicha,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
62,Barha,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
66,Basahra,212302,Uttar Pradesh,Allahabad,25.184562,82.09290777
75,Belhat,212302,Uttar Pradesh,Allahabad,25.184562,82.09290777
76,Belsara,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
85,Bhaiyan,212302,Uttar Pradesh,Allahabad,25.184562,82.09290777
89,Bharat Nagar,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
91,Bhatauti,212302,Uttar Pradesh,Allahabad,25.184562,82.09290777
103,Bikikalan,212302,Uttar Pradesh,Allahabad,25.184562,82.09290777
111,Buxie Khurde,211006,Uttar Pradesh,Allahabad,25.44891438,81.86680495
112,C D a (p),211014,Uttar Pradesh,Allahabad,54.60380881,30.05067492
113,Cavellary Lines,211004,Uttar Pradesh,Allahabad,25.49372024,81.86523163
116,Chamu,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
121,Chhapar,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
124,Chhatnag,211019,Uttar Pradesh,Allahabad,25.42128164,81.92461484
126,Chhibaiya,211019,Uttar Pradesh,Allahabad,25.42128164,81.92461484
131,Dandi Bazar,211007,Uttar Pradesh,Allahabad,25.43346784,81.84280782
132,Dandupur,211008,Uttar Pradesh,Allahabad,25.39805645,81.8620793
133,Daraganj,211006,Uttar Pradesh,Allahabad,25.44891438,81.86680495
135,Dari,212302,Uttar Pradesh,Allahabad,25.184562,82.09290777
164,Ghiya Ngr,212404,Uttar Pradesh,Allahabad,25.52808995,82.0492678
170,Gunai Gaharpur,212302,Uttar Pradesh,Allahabad,25.184562,82.09290777
184,I L c,211008,Uttar Pradesh,Allahabad,25.39805645,81.8620793
185,I T i,210010,Uttar Pradesh,Allahabad,55.19007927,30.21029687
197,Jari Bazar,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
201,Jhunsi,211019,Uttar Pradesh,Allahabad,25.42128164,81.92461484
210,Kapraura,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
226,Kaundhiyra,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
235,Kheraht Khurd,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
236,Khiri,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
237,Khoonta,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
247,Kurki Kalan,212302,Uttar Pradesh,Allahabad,25.184562,82.09290777
255,Lendiyari,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
259,Lutar,212302,Uttar Pradesh,Allahabad,25.184562,82.09290777
261,M L n engg.coll.,211004,Uttar Pradesh,Allahabad,25.49372024,81.86523163
269,Maida,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
274,Malawan Khurd,211019,Uttar Pradesh,Allahabad,25.42128164,81.92461484
276,Manauri Af,212212,Uttar Pradesh,Allahabad,25.3314827,81.5393894
287,Meja,212302,Uttar Pradesh,Allahabad,25.184562,82.09290777
302,Naini,211008,Uttar Pradesh,Allahabad,25.39805645,81.8620793
303,Naini Pac,211008,Uttar Pradesh,Allahabad,25.39805645,81.8620793
315,Nibi,211008,Uttar Pradesh,Allahabad,25.39805645,81.8620793
317,Nibi Kalan,211019,Uttar Pradesh,Allahabad,25.42128164,81.92461484
320,Niralachowk,211006,Uttar Pradesh,Allahabad,25.44891438,81.86680495
327,Palpatti,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
331,Panwari,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
334,Pasna,212302,Uttar Pradesh,Allahabad,25.184562,82.09290777
396,Sohbatia Bagh,211006,Uttar Pradesh,Allahabad,25.44891438,81.86680495
403,Sujani,212106,Uttar Pradesh,Allahabad,25.17614373,81.79014477
404,T S l,211010,Uttar Pradesh,Allahabad,25.35280205,81.88566457
409,Tigza,212302,Uttar Pradesh,Allahabad,25.184562,82.09290777
415,Udyog Nagar,211009,Uttar Pradesh,Allahabad,25.3607605,81.8828873
